,age,workclass, fnlwgt ,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hour-per-week,native-country,income
5287,25, Private," 312,966 ", 9th,5, Separated, Handlers-cleaners, Other-relative, White, Male,0,0,40, El-Salvador, <=50K
177,21, Private," 312,956 ", HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
14193,54, State-gov," 312,897 ", Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,46, England, >50K
26927,33, Private," 312,881 ", Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
28071,36, Local-gov," 312,785 ", Bachelors,13, Never-married, Prof-specialty, Own-child, Black, Male,0,0,35, United-States, <=50K
9027,38, Private," 312,771 ", Assoc-voc,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
11685,30, State-gov," 312,767 ", HS-grad,9, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
11007,37, Private," 312,766 ", HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
25594,27, State-gov," 312,692 ", Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,12, United-States, <=50K
29310,45, State-gov," 312,678 ", Masters,14, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,38, United-States, <=50K
4267,32, Private," 312,667 ", Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States, >50K
4647,30, Private," 312,667 ", HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
19877,30, Private," 312,667 ", Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
21010,31, Private," 312,667 ", 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
16862,69, Private," 312,653 ", Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,25, United-States, <=50K
29466,18, ?," 312,634 ", 11th,7, Never-married, ?, Own-child, White, Male,0,0,25, United-States, <=50K
4038,28, Private," 312,588 ", 10th,6, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
16486,38, State-gov," 312,528 ", Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,37, United-States, <=50K
11733,76, ?," 312,500 ", 5th-6th,3, Widowed, ?, Unmarried, White, Female,0,0,40, United-States, <=50K
16467,52, Federal-gov," 312,500 ", Assoc-voc,11, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
28370,64, Private," 312,498 ", Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
11326,50, Self-emp-not-inc," 312,477 ", HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,40, United-States, >50K
27273,52, Private," 312,477 ", HS-grad,9, Widowed, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
28641,51, Private," 312,477 ", Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,3908,0,40, United-States, <=50K
29959,53, Private," 312,446 ", Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
25371,20, Local-gov," 312,427 ", HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,30, Puerto-Rico, <=50K
24124,28, Private," 312,372 ", HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,40, United-States, >50K
10452,18, Private," 312,353 ", 12th,8, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
25758,25, Private," 312,338 ", Assoc-voc,11, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
8186,37, Private," 312,271 ", Masters,14, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, <=50K
17568,38, Private," 312,271 ", Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
19779,64, Private," 312,242 ", Some-college,10, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,3, United-States, <=50K
8837,37, Local-gov," 312,232 ", Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,5178,0,40, United-States, >50K
24154,35, Private," 312,232 ", HS-grad,9, Separated, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
26900,38, Self-emp-inc," 312,232 ", Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
9257,36, Private," 312,206 ", HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
8120,34, Self-emp-not-inc," 312,197 ", HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,75, Mexico, >50K
30185,25, Private," 312,157 ", Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
1837,58, Private," 312,131 ", Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
28738,38, Private," 312,108 ", HS-grad,9, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
32504,47, Private," 312,088 ", HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
2387,33, Self-emp-not-inc," 312,055 ", Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
17372,31, Self-emp-not-inc," 312,055 ", HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
19974,33, Private," 312,055 ", Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
10104,20, Private," 312,017 ", Some-college,10, Never-married, Protective-serv, Own-child, White, Male,0,0,40, Germany, <=50K
11498,21, Private," 312,017 ", Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
21675,23, Private," 312,017 ", Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
32121,24, Federal-gov," 312,017 ", Some-college,10, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
8350,46, State-gov," 312,015 ", HS-grad,9, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
28837,19, Private," 311,974 ", HS-grad,9, Never-married, Craft-repair, Other-relative, White, Male,0,0,25, Mexico, <=50K
29877,19, Private," 311,974 ", 1st-4th,2, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,40, Mexico, <=50K
23916,24, ?," 311,949 ", HS-grad,9, Never-married, ?, Not-in-family, Asian-Pac-Islander, Female,0,0,45, ?, <=50K
28442,52, Private," 311,931 ", 5th-6th,3, Married-civ-spouse, Sales, Wife, White, Female,0,0,15, El-Salvador, <=50K
8248,43, Local-gov," 311,914 ", Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
27898,30, Local-gov," 311,913 ", HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
32283,17, Private," 311,907 ", 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
18878,18, Private," 311,795 ", 12th,8, Never-married, Sales, Own-child, Black, Female,0,0,20, United-States, <=50K
1814,22, Private," 311,764 ", 11th,7, Widowed, Sales, Own-child, Black, Female,0,0,35, United-States, <=50K
14855,32, Private," 311,764 ", 10th,6, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,35, United-States, <=50K
30765,30, Private," 311,696 ", 11th,7, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,30, United-States, <=50K
4712,45, Federal-gov," 311,671 ", Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, White, Male,3908,0,40, United-States, <=50K
6416,49, Federal-gov," 311,671 ", Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
9002,51, Self-emp-not-inc," 311,569 ", HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
11944,50, Local-gov," 311,551 ", Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,50, United-States, >50K
31543,40, Private," 311,534 ", HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
28466,32, Private," 311,524 ", HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,38, United-States, <=50K
35,22, State-gov," 311,512 ", Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, United-States, <=50K
16482,26, Private," 311,497 ", Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
26178,62, Private," 311,495 ", Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
17579,27, Private," 311,446 ", HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,5178,0,40, United-States, >50K
31796,58, Local-gov," 311,409 ", Masters,14, Married-civ-spouse, Prof-specialty, Husband, Black, Male,7688,0,30, United-States, >50K
2472,24, Private," 311,376 ", Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
17406,22, Private," 311,376 ", Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
26991,23, Private," 311,376 ", Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
12731,44, Self-emp-inc," 311,357 ", Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
8302,51, Private," 311,350 ", Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
10619,53, Private," 311,350 ", Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
31667,53, Private," 311,269 ", HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
8727,36, Private," 311,255 ", HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Haiti, <=50K
1456,56, Private," 311,249 ", HS-grad,9, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,38, United-States, <=50K
26191,45, Self-emp-inc," 311,231 ", Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1485,50, United-States, >50K
30242,33, Private," 311,194 ", 11th,7, Never-married, Sales, Unmarried, Black, Female,0,0,17, United-States, <=50K
4852,75, Private," 311,184 ", Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,24, United-States, <=50K
18278,90, Private," 311,184 ", Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, ?, <=50K
9847,43, Self-emp-not-inc," 311,177 ", Some-college,10, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,30, United-States, <=50K
31158,25, Private," 311,124 ", Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
16040,45, Local-gov," 311,080 ", Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
913,53, Self-emp-not-inc," 311,020 ", 10th,6, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
10338,54, Private," 311,020 ", HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, <=50K
19476,43, State-gov," 310,969 ", Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
1618,26, Private," 310,907 ", Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,35, United-States, <=50K
23583,30, Private," 310,889 ", Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
31739,30, Private," 310,889 ", Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,55, United-States, <=50K
6677,25, Private," 310,864 ", Bachelors,13, Never-married, Tech-support, Not-in-family, Black, Male,0,0,40, ?, <=50K
12635,27, Private," 310,850 ", HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
15522,54, Self-emp-not-inc," 310,774 ", Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
26924,51, Private," 310,774 ", Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
31975,50, Private," 310,774 ", Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, <=50K
24731,31, Private," 310,773 ", Some-college,10, Separated, Sales, Unmarried, White, Female,0,0,40, Mexico, <=50K
3959,42, Private," 310,632 ", Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
16428,33, Self-emp-not-inc," 310,525 ", 12th,8, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,32, United-States, <=50K
26688,34, ?," 310,525 ", HS-grad,9, Married-civ-spouse, ?, Husband, Black, Male,0,0,10, United-States, <=50K
24486,63, ?," 310,396 ", 9th,5, Married-civ-spouse, ?, Husband, White, Male,5178,0,40, United-States, >50K
10752,22, Private," 310,380 ", HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
16480,24, Private," 310,380 ", Some-college,10, Married-spouse-absent, Adm-clerical, Own-child, Black, Female,0,0,45, United-States, <=50K
16189,58, Private," 310,320 ", Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
30104,57, Federal-gov," 310,320 ", Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,48, United-States, >50K
27455,35, Private," 310,290 ", HS-grad,9, Married-civ-spouse, Transport-moving, Wife, Black, Female,0,0,40, United-States, <=50K
18531,44, Private," 310,255 ", Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
30918,41, Private," 310,255 ", HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
5898,19, Private," 310,158 ", Some-college,10, Never-married, Transport-moving, Own-child, White, Male,0,0,30, United-States, <=50K
1458,22, Private," 310,152 ", Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
8733,22, Private," 310,152 ", Some-college,10, Never-married, Other-service, Not-in-family, White, Male,3325,0,40, United-States, <=50K
32556,22, Private," 310,152 ", Some-college,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
7657,40, Private," 310,101 ", Some-college,10, Separated, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
3227,58, Local-gov," 310,085 ", 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
15021,58, Private," 310,085 ", 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
5436,52, Private," 310,045 ", 9th,5, Married-spouse-absent, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,30, China, <=50K
18954,58, Self-emp-not-inc," 310,014 ", Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,25, United-States, <=50K
72,31, Private," 309,974 ", Bachelors,13, Separated, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
17470,31, Private," 309,974 ", Some-college,10, Separated, Tech-support, Unmarried, Black, Female,0,0,40, United-States, <=50K
15577,75, Self-emp-not-inc," 309,955 ", Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2174,50, United-States, >50K
13566,43, Private," 309,932 ", Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
2112,46, Private," 309,895 ", Some-college,10, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
16028,48, Self-emp-not-inc," 309,895 ", Some-college,10, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
18092,29, Federal-gov," 309,778 ", Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
79,18, Private," 309,634 ", 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States, <=50K
7899,33, Private," 309,630 ", HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
4463,28, Private," 309,620 ", Some-college,10, Married-civ-spouse, Sales, Husband, Other, Male,0,0,60, ?, <=50K
10092,29, State-gov," 309,620 ", Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,20, Taiwan, <=50K
26495,31, Private," 309,620 ", Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,6, South, <=50K
5259,20, Private," 309,580 ", HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
16212,23, Private," 309,580 ", Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
9154,28, Private," 309,566 ", HS-grad,9, Never-married, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
7707,34, Private," 309,513 ", HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
15054,32, Private," 309,513 ", HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
31465,32, Private," 309,513 ", Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31659,17, Private," 309,504 ", 10th,6, Never-married, Sales, Unmarried, White, Female,0,0,24, United-States, <=50K
10496,29, Private," 309,463 ", 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
16158,33, Private," 309,350 ", HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
20953,22, State-gov," 309,348 ", Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,15, United-States, <=50K
27492,21, Local-gov," 309,348 ", Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,594,0,4, United-States, <=50K
20753,40, Private," 309,311 ", HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
26777,19, ?," 309,284 ", Some-college,10, Never-married, ?, Not-in-family, White, Male,0,0,40, United-States, <=50K
14904,79, Self-emp-inc," 309,272 ", HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
29000,38, Private," 309,230 ", Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
19893,46, Private," 309,212 ", HS-grad,9, Divorced, Priv-house-serv, Not-in-family, White, Female,0,0,25, United-States, <=50K
14990,28, Private," 309,196 ", Bachelors,13, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
9936,22, Private," 309,178 ", HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
17199,59, Self-emp-not-inc," 309,124 ", HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
19557,38, Private," 309,122 ", 10th,6, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
29322,36, Private," 309,122 ", HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
9814,25, Private," 309,098 ", Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
12289,41, State-gov," 309,056 ", Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
866,24, Private," 309,055 ", Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,15, United-States, <=50K
19268,23, State-gov," 309,055 ", Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
24029,49, Private," 309,033 ", Assoc-voc,11, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,60, United-States, >50K
5789,27, ?," 308,995 ", Some-college,10, Divorced, ?, Own-child, Black, Female,0,0,40, United-States, <=50K
10155,28, Private," 308,995 ", Some-college,10, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Jamaica, <=50K
7671,35, Private," 308,945 ", HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,0,75, United-States, <=50K
8567,35, Local-gov," 308,945 ", HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
8849,36, Private," 308,945 ", HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
9121,29, Private," 308,944 ", HS-grad,9, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
7341,20, ?," 308,924 ", Some-college,10, Never-married, ?, Own-child, White, Male,0,0,25, United-States, <=50K
12788,17, Local-gov," 308,901 ", 11th,7, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
19274,18, Private," 308,889 ", 11th,7, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
11240,35, Self-emp-not-inc," 308,874 ", HS-grad,9, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
16025,57, Private," 308,861 ", Some-college,10, Separated, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
7821,30, Private," 308,812 ", Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
30215,52, Private," 308,764 ", Some-college,10, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
30756,50, Local-gov," 308,764 ", HS-grad,9, Widowed, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
31581,55, Self-emp-not-inc," 308,746 ", Prof-school,15, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States, >50K
5592,28, Private," 308,709 ", Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,48, United-States, <=50K
6500,37, Private," 308,691 ", Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
9443,35, Private," 308,691 ", Masters,14, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, United-States, <=50K
21402,38, Self-emp-inc," 308,686 ", Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, >50K
27847,20, Local-gov," 308,654 ", Some-college,10, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
20458,60, Private," 308,608 ", HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
23413,41, Private," 308,550 ", HS-grad,9, Divorced, Craft-repair, Unmarried, White, Female,0,0,60, United-States, <=50K
18884,31, Private," 308,540 ", Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
18221,43, State-gov," 308,498 ", HS-grad,9, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
28977,23, Private," 308,498 ", Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,15, United-States, <=50K
2085,28, ?," 308,493 ", HS-grad,9, Married-civ-spouse, ?, Wife, White, Female,0,0,17, Honduras, <=50K
14962,35, Private," 308,489 ", Bachelors,13, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, United-States, <=50K
6815,55, Private," 308,373 ", Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
4719,46, Private," 308,334 ", 1st-4th,2, Widowed, Other-service, Unmarried, Other, Female,0,0,30, Mexico, <=50K
27487,22, Private," 308,334 ", HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,19, United-States, <=50K
3966,41, Private," 308,296 ", HS-grad,9, Married-civ-spouse, Transport-moving, Wife, White, Female,0,0,20, United-States, <=50K
29037,24, Private," 308,285 ", HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
10097,42, Self-emp-not-inc," 308,279 ", Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,21, United-States, <=50K
24074,47, ?," 308,242 ", HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
6157,20, Private," 308,239 ", Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
19884,21, Private," 308,237 ", 5th-6th,3, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
3426,23, Private," 308,205 ", Assoc-acdm,12, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
3688,24, Private," 308,205 ", 7th-8th,4, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, Mexico, <=50K
14887,24, Private," 308,205 ", Some-college,10, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
17092,22, Private," 308,205 ", 5th-6th,3, Never-married, Farming-fishing, Other-relative, White, Male,0,0,40, Mexico, <=50K
4326,25, Private," 308,144 ", Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
4882,25, Private," 308,144 ", Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Mexico, <=50K
20540,28, Private," 308,136 ", HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
25055,29, Private," 308,136 ", Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
13919,55, Private," 308,118 ", Bachelors,13, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,40, ?, <=50K
22575,59, Private," 308,118 ", Assoc-acdm,12, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
29293,54, Private," 308,087 ", Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,1977,18, United-States, >50K
27856,46, Federal-gov," 308,077 ", Prof-school,15, Separated, Prof-specialty, Unmarried, White, Female,0,0,40, Germany, >50K
5385,19, ?," 308,064 ", HS-grad,9, Never-married, ?, Not-in-family, Black, Female,0,0,40, United-States, <=50K
25027,63, Private," 308,028 ", Masters,14, Married-civ-spouse, Tech-support, Husband, White, Male,5013,0,40, United-States, <=50K
14292,40, Private," 308,027 ", HS-grad,9, Widowed, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
29975,44, Federal-gov," 308,027 ", Bachelors,13, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
27775,19, ?," 307,837 ", Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States, <=50K
23697,29, Private," 307,812 ", HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
23013,64, Self-emp-inc," 307,786 ", 1st-4th,2, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, United-States, <=50K
2903,43, Private," 307,767 ", HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
21792,40, Private," 307,767 ", HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
28763,25, Private," 307,643 ", HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
3038,42, Private," 307,638 ", HS-grad,9, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
11495,50, Federal-gov," 307,555 ", Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, >50K
12265,19, Private," 307,496 ", Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,16, United-States, <=50K
23336,19, Private," 307,496 ", Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,23, United-States, <=50K
